SPECIES,LITERAL LATIN,COMMON NAME,GENUS,FAMILY,ORDER,CLADE,COMMON GENUS NAME,COMMON FAMILY NAME,LIFE FORM,SEEN AT,GROWTH FORM,SPECIFIC LOCATION,GENERAL LOCATION,HEMISPHERE,GROWTH HABIT,HORTICULTURAL DEVELOPMENT,COMMERCIAL STATUS,CONSERVATION STATUS,SOURCE,NOTES,IMAGE,DATA_QUALITY_SCORE,LAST_UPDATED
hypericum perforatum,,st johns wort,hypericum,hypericaceae,malpighiales,dicots,,,hemicryptophyte,knighton,herb,,Europe,northern,Both,Low,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
hypericum pulchrum,,slender st johns wort,hypericum,hypericaceae,malpighiales,dicots,,,hemicryptophyte,knighton,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
hypoestes phyllostachya,,polka dot plant,hypoestes,acanthaceae,lamiales,dicots,,,hemicryptophyte,ottawa,herb,,,,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
ibervillea lindheimeri,,snake apple,ibervillea,cucurbitaceae,cucurbitales,dicots,,,phanerophyte,yogyakarta,vine,,North America,northern,Wild,Low,None,Locally common,natural,,,0.0,2025-08-27T02:28:19.554278
ilex cornuta,,horned holly,ilex,aquifoliaceae,aquifoliales,dicots,,,phanerophyte,kintbury,shrub,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
ilex mucronata,,mountain holly,ilex,aquifoliaceae,aquifoliales,dicots,hollies,,phanerophyte,charlevoix,shrub,Eastern United States,North America,northern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
impatiens hawkeri,,new guinea impatiens,impatiens,balsaminaceae,ericales,dicots,,,hemicryptophyte,Kew,herb,,,,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
impatiens walleriana,,busy lizzie,impatiens,balsaminaceae,ericales,dicots,,,hemicryptophyte,bandung,herb,,Africa,southern,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
indigofera tinctoria,,indigo,indigofera,fabaceae,fabales,dicots,,legumes,hemicryptophyte,Fifty plants,herb,,Asia,northern,Cultivated,Low,Major,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
inula helenium,,elfdock,inula,asteraceae,asterales,dicots,,,hemicryptophyte,london,herb,,Europe,northern,Both,Low,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
ipomoea batatas,,sweet potato,ipomoea,convulvulaceae,solanales,dicots,morning glory/sweet potato,bindweeds,hemicryptophyte,Fifty plants,herb,,Central America,,Cultivated,Moderate,Major,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
ipomoea cairica,,coast morning glory,ipomoea,convulvulaceae,solanales,dicots,morning glory/sweet potato,,phanerophyte,bandung,vine,,Africa,southern,Both,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
iresine herbstii,,bloodleaf,iresine,amaranthaceae,caryophyllales,dicots,,amaranth,hemicryptophyte,Expo,herb,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
